old_source_name,new_source_name,old_text_name,new_text_name,old_year,new_year,old_title,new_title,doi,metadata_source,confidence
2015_tissue_residency_of_innate_lymphoid_cells_in_lymphoid_and_nonlymphoid_organs.md,2015_tissue_residency_of_innate_lymphoid_cells_in_lymphoid_and_nonlymphoid_organs.md,2015_tissue_residency_of_innate_lymphoid_cells_in_lymphoid_and_nonlymphoid_organs.txt,2015_tissue_residency_of_innate_lymphoid_cells_in_lymphoid_and_nonlymphoid_organs.txt,2013,2015,Tissue residency of innate lymphoid cells in lymphoid and nonlymphoid organs,Tissue residency of innate lymphoid cells in lymphoid and nonlymphoid organs,10.1126/science.aac9593,crossref-title,high
2020_insulin_like_growth_factor_1_supports_a_pulmonary_niche_that_promotes_type_3_innate_lymphoid_cell_development_in.md,2020_insulin_like_growth_factor_1_supports_a_pulmonary_niche_that_promotes_type_3_innate_lymphoid_cell_development_in.md,2020_insulin_like_growth_factor_1_supports_a_pulmonary_niche_that_promotes_type_3_innate_lymphoid_cell_development_in.txt,2020_insulin_like_growth_factor_1_supports_a_pulmonary_niche_that_promotes_type_3_innate_lymphoid_cell_development_in.txt,2014,2020,Insulin-like Growth Factor 1 Supports a Pulmonary Niche that Promotes Type 3 Innate Lymphoid Cell Development in Newborn Lungs,Insulin-like Growth Factor 1 Supports a Pulmonary Niche that Promotes Type 3 Innate Lymphoid Cell Development in Newborn Lungs,10.1016/j.immuni.2020.01.005,crossref-doi,high
2018_tissue_restricted_adaptive_type_2_immunity_is_orchestrated_by_expression_of_the_costimulatory_molecule_ox40l_on.md,2018_tissue_restricted_adaptive_type_2_immunity_is_orchestrated_by_expression_of_the_costimulatory_molecule_ox40l_on.md,2018_tissue_restricted_adaptive_type_2_immunity_is_orchestrated_by_expression_of_the_costimulatory_molecule_ox40l_on.txt,2018_tissue_restricted_adaptive_type_2_immunity_is_orchestrated_by_expression_of_the_costimulatory_molecule_ox40l_on.txt,2014,2018,Tissue-Restricted Adaptive Type 2 Immunity Is Orchestrated by Expression of the Costimulatory Molecule OX40L on Group 2 Innate Lymphoid Cells,Tissue-Restricted Adaptive Type 2 Immunity Is Orchestrated by Expression of the Costimulatory Molecule OX40L on Group 2 Innate Lymphoid Cells,10.1016/j.immuni.2018.05.003,crossref-doi,high
2021_dysregulation_of_ilc3s_unleashes_progression_and_immunotherapy_resistance_in_colon_cancer.md,2021_dysregulation_of_ilc3s_unleashes_progression_and_immunotherapy_resistance_in_colon_cancer.md,2021_dysregulation_of_ilc3s_unleashes_progression_and_immunotherapy_resistance_in_colon_cancer.txt,2021_dysregulation_of_ilc3s_unleashes_progression_and_immunotherapy_resistance_in_colon_cancer.txt,2015,2021,Dysregulation of ILC3s unleashes progression and immunotherapy resistance in colon cancer,Dysregulation of ILC3s unleashes progression and immunotherapy resistance in colon cancer,10.1016/j.cell.2021.07.029,crossref-doi,high
2015_group_3_innate_lymphoid_cells_mediate_intestinal_selection_of_commensal_bacteria_specific_cd4_t_cells.md,2015_group_3_innate_lymphoid_cells_mediate_intestinal_selection_of_commensal_bacteria_specific_cd4_t_cells.md,2015_group_3_innate_lymphoid_cells_mediate_intestinal_selection_of_commensal_bacteria_specific_cd4_t_cells.txt,2015_group_3_innate_lymphoid_cells_mediate_intestinal_selection_of_commensal_bacteria_specific_cd4_t_cells.txt,2015,2015,Group 3 innate lymphoid cells mediate intestinal selection of commensal bacteria-specific CD4+ T cells,Group 3 innate lymphoid cells mediate intestinal selection of commensal bacteria-specific CD4 + T cells,10.1126/science.aaa4812,crossref-doi,high
2015_icos_icos_ligand_interaction_is_required_for_type_2_innate_lymphoid_cell_function_homeostasis_and_induction_of_a.md,2015_icos_icos_ligand_interaction_is_required_for_type_2_innate_lymphoid_cell_function_homeostasis_and_induction_of_a.md,2015_icos_icos_ligand_interaction_is_required_for_type_2_innate_lymphoid_cell_function_homeostasis_and_induction_of_a.txt,2015_icos_icos_ligand_interaction_is_required_for_type_2_innate_lymphoid_cell_function_homeostasis_and_induction_of_a.txt,2015,2015,"ICOS-ligand interaction is required for type 2 innate lymphoid cell function, homeostasis, and induction of airway hyperreactivity","ICOS:ICOS-Ligand Interaction Is Required for Type 2 Innate Lymphoid Cell Function, Homeostasis, and Induction of Airway Hyperreactivity",10.1016/j.immuni.2015.02.007,crossref-doi,high
2018_innate_lymphoid_cells_10_years_on.md,2018_innate_lymphoid_cells_10_years_on.md,2018_innate_lymphoid_cells_10_years_on.txt,2018_innate_lymphoid_cells_10_years_on.txt,2015,2018,ILC 10 years on,Innate Lymphoid Cells: 10 Years On,10.1016/j.cell.2018.07.017,manual-doi-crossref,high
2017_cysteinyl_leukotriene_e4_activates_human_group_2_innate_lymphoid_cells_and_enhances_the_effect_of_prostaglandin.md,2017_cysteinyl_leukotriene_e4_activates_human_group_2_innate_lymphoid_cells_and_enhances_the_effect_of_prostaglandin.md,2017_cysteinyl_leukotriene_e4_activates_human_group_2_innate_lymphoid_cells_and_enhances_the_effect_of_prostaglandin.txt,2017_cysteinyl_leukotriene_e4_activates_human_group_2_innate_lymphoid_cells_and_enhances_the_effect_of_prostaglandin.txt,2016,2017,Cysteinyl leukotriene E(4) activates human group 2 innate lymphoid cells and enhances the effect of prostaglandin D(2) and epithelial cytokines,Cysteinyl leukotriene E4 activates human group 2 innate lymphoid cells and enhances the effect of prostaglandin D2 and epithelial cytokines,10.1016/j.jaci.2016.12.958,crossref-doi,high
2018_innate_lymphoid_cells_diversity_plasticity_and_unique_functions_in_immunity.md,2018_innate_lymphoid_cells_diversity_plasticity_and_unique_functions_in_immunity.md,2018_innate_lymphoid_cells_diversity_plasticity_and_unique_functions_in_immunity.txt,2018_innate_lymphoid_cells_diversity_plasticity_and_unique_functions_in_immunity.txt,2016,2018,"Innate Lymphoid Cells Diversity, Plasticity, and Unique Functions in Immunity","Innate Lymphoid Cells: Diversity, Plasticity, and Unique Functions in Immunity",10.1016/j.immuni.2018.05.013,crossref-doi,high
2018_the_tumor_necrosis_factor_superfamily_member_rankl_suppresses_effector_cytokine_production_in_group_3_innate_lym.md,2018_the_tumor_necrosis_factor_superfamily_member_rankl_suppresses_effector_cytokine_production_in_group_3_innate_lym.md,2018_the_tumor_necrosis_factor_superfamily_member_rankl_suppresses_effector_cytokine_production_in_group_3_innate_lym.txt,2018_the_tumor_necrosis_factor_superfamily_member_rankl_suppresses_effector_cytokine_production_in_group_3_innate_lym.txt,2016,2018,The Tumor Necrosis Factor Superfamily Member RANKL Suppresses Effector Cytokine Production in Group 3 Innate Lymphoid Cells,The Tumor Necrosis Factor Superfamily Member RANKL Suppresses Effector Cytokine Production in Group 3 Innate Lymphoid Cells,10.1016/j.immuni.2018.04.012,crossref-doi,high
2018_human_cd40_ligand_expressing_type_3_innate_lymphoid_cells_induce_il_10_producing_immature_transitional_regulator.md,2018_human_cd40_ligand_expressing_type_3_innate_lymphoid_cells_induce_il_10_producing_immature_transitional_regulator.md,2018_human_cd40_ligand_expressing_type_3_innate_lymphoid_cells_induce_il_10_producing_immature_transitional_regulator.txt,2018_human_cd40_ligand_expressing_type_3_innate_lymphoid_cells_induce_il_10_producing_immature_transitional_regulator.txt,2017,2018,Human CD40 ligand-expressing type 3 innate lymphoid cells induce IL-10-producing immature transitional regulatory B cells,Human CD40 ligand-expressing type 3 innate lymphoid cells induce IL-10-producing immature transitional regulatory B cells,10.1016/j.jaci.2017.07.046,crossref-doi,high
2020_ilc2s_are_the_predominant_source_of_intestinal_ilc_derived_il_10.md,2020_ilc2s_are_the_predominant_source_of_intestinal_ilc_derived_il_10.md,2020_ilc2s_are_the_predominant_source_of_intestinal_ilc_derived_il_10.txt,2020_ilc2s_are_the_predominant_source_of_intestinal_ilc_derived_il_10.txt,2017,2020,ILC2s are the predominant source of intestinal ILC-derived IL-10,ILC2s are the predominant source of intestinal ILC-derived IL-10,10.1084/jem.20191520,crossref-doi,high
2022_metabolic_features_of_innate_lymphoid_cells.md,2022_metabolic_features_of_innate_lymphoid_cells.md,2022_metabolic_features_of_innate_lymphoid_cells.txt,2022_metabolic_features_of_innate_lymphoid_cells.txt,2017,2022,Metabolic features of innate lymphoid cells,Metabolic features of innate lymphoid cells,10.1084/jem.20221140,crossref-doi,high
2018_vitamin_d_downregulates_the_il_23_receptor_pathway_in_human_mucosal_group_3_innate_lymphoid_cells.md,2018_vitamin_d_downregulates_the_il_23_receptor_pathway_in_human_mucosal_group_3_innate_lymphoid_cells.md,2018_vitamin_d_downregulates_the_il_23_receptor_pathway_in_human_mucosal_group_3_innate_lymphoid_cells.txt,2018_vitamin_d_downregulates_the_il_23_receptor_pathway_in_human_mucosal_group_3_innate_lymphoid_cells.txt,2017,2018,Vitamin D downregulates the IL-23 receptor pathway in human mucosal group 3 innate lymphoid cells,Vitamin D downregulates the IL-23 receptor pathway in human mucosal group 3 innate lymphoid cells,10.1016/j.jaci.2017.01.045,crossref-doi,high
2018_beta_2_adrenergic_receptor_mediated_negative_regulation_of_group_2_innate_lymphoid_cell_responses.md,2018_beta_2_adrenergic_receptor_mediated_negative_regulation_of_group_2_innate_lymphoid_cell_responses.md,2018_beta_2_adrenergic_receptor_mediated_negative_regulation_of_group_2_innate_lymphoid_cell_responses.txt,2018_beta_2_adrenergic_receptor_mediated_negative_regulation_of_group_2_innate_lymphoid_cell_responses.txt,2018,2018,beta(2)-adrenergic receptor-mediated negative regulation of group 2 innate lymphoid cell responses,beta 2 -adrenergic receptor-mediated negative regulation of group 2 innate lymphoid cell responses,10.1126/science.aan4829,crossref-doi,high
2019_il_17_producing_st2_group_2_innate_lymphoid_cells_play_a_pathogenic_role_in_lung_inflammation.md,2019_il_17_producing_st2_group_2_innate_lymphoid_cells_play_a_pathogenic_role_in_lung_inflammation.md,2019_il_17_producing_st2_group_2_innate_lymphoid_cells_play_a_pathogenic_role_in_lung_inflammation.txt,2019_il_17_producing_st2_group_2_innate_lymphoid_cells_play_a_pathogenic_role_in_lung_inflammation.txt,2018,2019,IL-17-producing ST2(+) group 2 innate lymphoid cells play a pathogenic role in lung inflammation,IL-17-producing ST2+ group 2 innate lymphoid cells play a pathogenic role in lung inflammation,10.1016/j.jaci.2018.03.007,crossref-doi,high
2019_innate_immune_crosstalk_in_asthmatic_airways_innate_lymphoid_cells_coordinate_polarization_of_lung_macrophages.md,2019_innate_immune_crosstalk_in_asthmatic_airways_innate_lymphoid_cells_coordinate_polarization_of_lung_macrophages.md,2019_innate_immune_crosstalk_in_asthmatic_airways_innate_lymphoid_cells_coordinate_polarization_of_lung_macrophages.txt,2019_innate_immune_crosstalk_in_asthmatic_airways_innate_lymphoid_cells_coordinate_polarization_of_lung_macrophages.txt,2018,2019,Innate immune crosstalk in asthmatic airways Innate lymphoid cells coordinate polarization of lung macrophages,Innate immune crosstalk in asthmatic airways: Innate lymphoid cells coordinate polarization of lung macrophages,10.1016/j.jaci.2018.10.040,crossref-doi,high
2019_innate_lymphoid_cells_in_asthma_pathophysiological_insights_from_murine_models_to_human_asthma_phenotypes.md,2019_innate_lymphoid_cells_in_asthma_pathophysiological_insights_from_murine_models_to_human_asthma_phenotypes.md,2019_innate_lymphoid_cells_in_asthma_pathophysiological_insights_from_murine_models_to_human_asthma_phenotypes.txt,2019_innate_lymphoid_cells_in_asthma_pathophysiological_insights_from_murine_models_to_human_asthma_phenotypes.txt,2018,2019,Innate lymphoid cells in asthma pathophysiological insights from murine models to human asthma phenotypes,Innate lymphoid cells in asthma: pathophysiological insights from murine models to human asthma phenotypes,10.1097/aci.0000000000000497,crossref-doi,high
2019_kinetics_of_the_accumulation_of_group_2_innate_lymphoid_cells_in_il_33_induced_and_il_25_induced_murine_models_o.md,2019_kinetics_of_the_accumulation_of_group_2_innate_lymphoid_cells_in_il_33_induced_and_il_25_induced_murine_models_o.md,2019_kinetics_of_the_accumulation_of_group_2_innate_lymphoid_cells_in_il_33_induced_and_il_25_induced_murine_models_o.txt,2019_kinetics_of_the_accumulation_of_group_2_innate_lymphoid_cells_in_il_33_induced_and_il_25_induced_murine_models_o.txt,2018,2019,Kinetics of the accumulation of group 2 innate lymphoid cells in IL-33-induced and IL-25-induced murine models of asthma a potential role for the chemokine CXCL16,Kinetics of the accumulation of group 2 innate lymphoid cells in IL-33-induced and IL-25-induced murine models of asthma: a potential role for the chemokine CXCL16,10.1038/s41423-018-0182-0,crossref-doi,high
2021_skin_resident_innate_lymphoid_cells_converge_on_a_pathogenic_effector_state.md,2021_skin_resident_innate_lymphoid_cells_converge_on_a_pathogenic_effector_state.md,2021_skin_resident_innate_lymphoid_cells_converge_on_a_pathogenic_effector_state.txt,2021_skin_resident_innate_lymphoid_cells_converge_on_a_pathogenic_effector_state.txt,2018,2021,Skin-resident innate lymphoid cells converge on a pathogenic effector state,Skin-resident innate lymphoid cells converge on a pathogenic effector state,10.1038/s41586-021-03188-w,crossref-doi,high
2018_the_group_2_innate_lymphoid_cell_ilc_2_regulatory_network_and_its_underlying_mechanisms.md,2018_the_group_2_innate_lymphoid_cell_ilc_2_regulatory_network_and_its_underlying_mechanisms.md,2018_the_group_2_innate_lymphoid_cell_ilc_2_regulatory_network_and_its_underlying_mechanisms.txt,2018_the_group_2_innate_lymphoid_cell_ilc_2_regulatory_network_and_its_underlying_mechanisms.txt,2018,2018,The group 2 innate lymphoid cell (ILC2) regulatory network and its underlying mechanisms,The group 2 innate lymphoid cell ( ILC 2) regulatory network and its underlying mechanisms,10.1111/imr.12706,crossref-doi,high
2020_autophagy_is_critical_for_group_2_innate_lymphoid_cell_metabolic_homeostasis_and_effector_function.md,2020_autophagy_is_critical_for_group_2_innate_lymphoid_cell_metabolic_homeostasis_and_effector_function.md,2020_autophagy_is_critical_for_group_2_innate_lymphoid_cell_metabolic_homeostasis_and_effector_function.txt,2020_autophagy_is_critical_for_group_2_innate_lymphoid_cell_metabolic_homeostasis_and_effector_function.txt,2019,2020,Autophagy is critical for group 2 innate lymphoid cell metabolic homeostasis and effector function,Autophagy is critical for group 2 innate lymphoid cell metabolic homeostasis and effector function,10.1016/j.jaci.2019.10.035,crossref-doi,high
2019_il_1beta_il_23_and_tgf_beta_drive_plasticity_of_human_ilc2s_towards_il_17_producing_ilcs_in_nasal_inflammation.md,2019_il_1beta_il_23_and_tgf_beta_drive_plasticity_of_human_ilc2s_towards_il_17_producing_ilcs_in_nasal_inflammation.md,2019_il_1beta_il_23_and_tgf_beta_drive_plasticity_of_human_ilc2s_towards_il_17_producing_ilcs_in_nasal_inflammation.txt,2019_il_1beta_il_23_and_tgf_beta_drive_plasticity_of_human_ilc2s_towards_il_17_producing_ilcs_in_nasal_inflammation.txt,2019,2019,"IL-1beta, IL-23, and TGF-beta drive plasticity of human ILC2s towards IL-17-producing ILCs in nasal inflammation","IL-1beta, IL-23, and TGF-beta drive plasticity of human ILC2s towards IL-17-producing ILCs in nasal inflammation",10.1038/s41467-019-09883-7,crossref-doi,high
2021_ilc3_derived_acetylcholine_promotes_protease_driven_allergic_lung_pathology.md,2021_ilc3_derived_acetylcholine_promotes_protease_driven_allergic_lung_pathology.md,2021_ilc3_derived_acetylcholine_promotes_protease_driven_allergic_lung_pathology.txt,2021_ilc3_derived_acetylcholine_promotes_protease_driven_allergic_lung_pathology.txt,2019,2021,ILC3-derived acetylcholine promotes protease-driven allergic lung pathology,ILC3-derived acetylcholine promotes protease-driven allergic lung pathology,10.1016/j.jaci.2020.10.038,crossref-title,high
2020_pulmonary_il_33_orchestrates_innate_immune_cells_to_mediate_respiratory_syncytial_virus_evoked_airway_hyperreact.md,2020_pulmonary_il_33_orchestrates_innate_immune_cells_to_mediate_respiratory_syncytial_virus_evoked_airway_hyperreact.md,2020_pulmonary_il_33_orchestrates_innate_immune_cells_to_mediate_respiratory_syncytial_virus_evoked_airway_hyperreact.txt,2020_pulmonary_il_33_orchestrates_innate_immune_cells_to_mediate_respiratory_syncytial_virus_evoked_airway_hyperreact.txt,2019,2020,Pulmonary IL-33 orchestrates innate immune cells to mediate respiratory syncytial virus-evoked airway hyperreactivity and eosinophilia,Pulmonary IL‐33 orchestrates innate immune cells to mediate respiratory syncytial virus‐evoked airway hyperreactivity and eosinophilia,10.1111/all.14091,crossref-doi,high
2020_il_1beta_prevents_ilc2_expansion_type_2_cytokine_secretion_and_mucus_metaplasia_in_response_to_early_life_rhinov.md,2020_il_1beta_prevents_ilc2_expansion_type_2_cytokine_secretion_and_mucus_metaplasia_in_response_to_early_life_rhinov.md,2020_il_1beta_prevents_ilc2_expansion_type_2_cytokine_secretion_and_mucus_metaplasia_in_response_to_early_life_rhinov.txt,2020_il_1beta_prevents_ilc2_expansion_type_2_cytokine_secretion_and_mucus_metaplasia_in_response_to_early_life_rhinov.txt,2020,2020,"IL-1beta prevents ILC2 expansion, type 2 cytokine secretion, and mucus metaplasia in response to early-life rhinovirus infection in mice","IL‐1beta prevents ILC2 expansion, type 2 cytokine secretion, and mucus metaplasia in response to early‐life rhinovirus infection in mice",10.1111/all.14241,crossref-doi,high
2020_the_role_of_the_tl1a_dr3_axis_in_the_activation_of_group_2_innate_lymphoid_cells_in_subjects_with_eosinophilic_a.md,2020_the_role_of_the_tl1a_dr3_axis_in_the_activation_of_group_2_innate_lymphoid_cells_in_subjects_with_eosinophilic_a.md,2020_the_role_of_the_tl1a_dr3_axis_in_the_activation_of_group_2_innate_lymphoid_cells_in_subjects_with_eosinophilic_a.txt,2020_the_role_of_the_tl1a_dr3_axis_in_the_activation_of_group_2_innate_lymphoid_cells_in_subjects_with_eosinophilic_a.txt,2020,2020,The Role of the TL1ADR3 Axis in the Activation of Group 2 Innate Lymphoid Cells in Subjects with Eosinophilic Asthma,The Role of the TL1A/DR3 Axis in the Activation of Group 2 Innate Lymphoid Cells in Subjects with Eosinophilic Asthma,10.1164/rccm.201909-1722oc,crossref-doi,high
2021_trained_immunity_and_tolerance_in_innate_lymphoid_cells_monocytes_and_dendritic_cells_during_allergen_specific_i.md,2021_trained_immunity_and_tolerance_in_innate_lymphoid_cells_monocytes_and_dendritic_cells_during_allergen_specific_i.md,2021_trained_immunity_and_tolerance_in_innate_lymphoid_cells_monocytes_and_dendritic_cells_during_allergen_specific_i.txt,2021_trained_immunity_and_tolerance_in_innate_lymphoid_cells_monocytes_and_dendritic_cells_during_allergen_specific_i.txt,2020,2021,"Trained immunity and tolerance in innate lymphoid cells, monocytes, and dendritic cells during allergen-specific immunotherapy","Trained immunity and tolerance in innate lymphoid cells, monocytes, and dendritic cells during allergen-specific immunotherapy",10.1016/j.jaci.2020.08.042,crossref-doi,high
2022_cannabinoid_receptor_2_engagement_promotes_group_2_innate_lymphoid_cell_expansion_and_enhances_airway_hyperreact.md,2022_cannabinoid_receptor_2_engagement_promotes_group_2_innate_lymphoid_cell_expansion_and_enhances_airway_hyperreact.md,2022_cannabinoid_receptor_2_engagement_promotes_group_2_innate_lymphoid_cell_expansion_and_enhances_airway_hyperreact.txt,2022_cannabinoid_receptor_2_engagement_promotes_group_2_innate_lymphoid_cell_expansion_and_enhances_airway_hyperreact.txt,2021,2022,Cannabinoid receptor 2 engagement promotes group 2 innate lymphoid cell expansion and enhances airway hyperreactivity,Cannabinoid receptor 2 engagement promotes group 2 innate lymphoid cell expansion and enhances airway hyperreactivity,10.1016/j.jaci.2021.09.037,crossref-doi,high
2022_neuropeptide_regulation_of_non_redundant_ilc2_responses_at_barrier_surfaces.md,2022_neuropeptide_regulation_of_non_redundant_ilc2_responses_at_barrier_surfaces.md,2022_neuropeptide_regulation_of_non_redundant_ilc2_responses_at_barrier_surfaces.txt,2022_neuropeptide_regulation_of_non_redundant_ilc2_responses_at_barrier_surfaces.txt,2021,2022,Neuropeptide regulation of non-redundant ILC2 responses at barrier surfaces,Neuropeptide regulation of non-redundant ILC2 responses at barrier surfaces,10.1038/s41586-022-05297-6,crossref-doi,high
2022_non_redundant_functions_of_group_2_innate_lymphoid_cells.md,2022_non_redundant_functions_of_group_2_innate_lymphoid_cells.md,2022_non_redundant_functions_of_group_2_innate_lymphoid_cells.txt,2022_non_redundant_functions_of_group_2_innate_lymphoid_cells.txt,2021,2022,Non-redundant functions of group 2 innate lymphoid cells,Non-redundant functions of group 2 innate lymphoid cells,10.1038/s41586-022-05395-5,crossref-doi,high
2021_roralpha_is_a_critical_checkpoint_for_t_cell_and_ilc2_commitment_in_the_embryonic_thymus.md,2021_roralpha_is_a_critical_checkpoint_for_t_cell_and_ilc2_commitment_in_the_embryonic_thymus.md,2021_roralpha_is_a_critical_checkpoint_for_t_cell_and_ilc2_commitment_in_the_embryonic_thymus.txt,2021_roralpha_is_a_critical_checkpoint_for_t_cell_and_ilc2_commitment_in_the_embryonic_thymus.txt,2021,2021,RORalpha is a critical checkpoint for T cell and ILC2 commitment in the embryonic thymus,RORalpha is a critical checkpoint for T cell and ILC2 commitment in the embryonic thymus,10.1038/s41590-020-00833-w,crossref-doi,high
2022_group_3_innate_lymphoid_cells_produce_the_growth_factor_hb_egf_to_protect_the_intestine_from_tnf_mediated_inflam.md,2022_group_3_innate_lymphoid_cells_produce_the_growth_factor_hb_egf_to_protect_the_intestine_from_tnf_mediated_inflam.md,2022_group_3_innate_lymphoid_cells_produce_the_growth_factor_hb_egf_to_protect_the_intestine_from_tnf_mediated_inflam.txt,2022_group_3_innate_lymphoid_cells_produce_the_growth_factor_hb_egf_to_protect_the_intestine_from_tnf_mediated_inflam.txt,2022,2022,Group 3 innate lymphoid cells produce the growth factor HB-EGF,Group 3 innate lymphoid cells produce the growth factor HB-EGF to protect the intestine from TNF-mediated inflammation,10.1038/s41590-021-01110-0,crossref-doi,high
